sub_district,count,avg_price,median_price,avg_ppm2,avg_gross_m2,avg_net_m2
Bahçelievler,338,16903878.698224854,15500000,106783.55504306254,159.92011834319527,137.05621301775147
Soğuksu,19,16833947.36842105,15500000,101286.49153410089,171.42105263157896,148.3684210526316
Merkezefendi,16,14224875,15200000,107446.52870549298,130.25,102.75
Bostancı,111,18128603.603603605,15000000,142570.45644512426,126.05405405405405,100.97297297297297
Sahrayı Cedit,21,14552380.952380951,15000000,126589.16271180612,115.61904761904762,90.85714285714286
Koşuyolu,3,16050000,14950000,123866.2429796039,128,113
Ayazağa,47,18869680.85106383,14900000,138092.55098578855,131.17021276595744,99.95744680851064
Huzur,68,19264485.29411765,14900000,158981.55192333847,118.72058823529412,85.30882352941177
Sakızağacı,14,14557142.857142856,14850000,113702.30612089598,121.85714285714286,94.5
Poligon,7,20103571.42857143,14575000,115388.00447413893,156.85714285714286,140.71428571428572
Çamlıtepe,2,14450000,14450000,140090.4392764858,133,100
Dikilitaş,126,15876587.301587302,14250000,148777.1303870125,109.01587301587301,92.31746031746032
Darüşşafaka,12,15035416.666666666,14225000,102602.77135061618,148.66666666666666,130
Kılıçali Paşa,9,15250000,14000000,144228.8140327356,107,98.22222222222223
Nizam,87,15521034.48275862,14000000,113675.2211150277,140.20689655172413,116.02298850574712
İcadiye,28,13978535.714285715,14000000,98375.07295630882,137.25,116.75
Kozyatağı,84,15223750,13900000,143060.4954416227,107.42857142857143,84.88095238095238
Maden,148,16725675.668918919,13900000,117486.18790938768,141.1689189189189,120.91216216216216
Kınalıada,12,13854166.666666666,13875000,91138.85276905773,166.33333333333334,129.25
Zuhuratbaba,55,14607272.727272727,13750000,107656.51766593168,141.23636363636365,114.4
Ortaköy,31,17832225.80645161,13700000,137888.4547029237,129.80645161290323,108.3225806451613
Rumeli Hisarı,8,16037500,13700000,138495.08804730844,116.875,96.875
Gayrettepe,31,15770967.741935484,13600000,130120.87217210357,129.38709677419354,110.51612903225806
Kirazlıtepe,14,14774928.57142857,13450000,124446.42915623203,121.64285714285714,99
Burgazada,25,13297960,13000000,118978.60652637124,116.4,100
Şamlar,3,15150000,13000000,83397.05882352941,180,133.33333333333334
Tantavi,13,14015384.615384616,12950000,100560.05069084962,137.92307692307693,119.23076923076923
Ataköy 7-8-9-10. Kısım,12,13737500,12750000,123044.61638125854,114.75,99.66666666666667
Caferağa,29,14734448.27586207,12750000,119450.898137971,120.48275862068965,102.24137931034483
Selami Ali,51,12047039.215686275,12750000,102260.48217824013,116.13725490196079,102.86274509803921
Yıldız,43,17024372.093023255,12750000,143780.34882502674,114.04651162790698,99.88372093023256
Kordonboyu,46,15550000,12650000,103958.54478819562,151.56521739130434,123.30434782608695
Anadolu Hisarı,2,12625000,12625000,114423.07692307692,115,97.5
